WATERBODY_LID,Count of DO(mg/L),Average of DO(mg/L)2,Min of DO(mg/L)2
15-3523-55336,9,5.611111111,0.2
15-3532-55170,20,9.62,1.7
15-3543-56122,,,
15-3559-55281,17,6.305882353,0.1
15-3653-55394,9,8.188888889,5.5
15-3654-55172,30,8.676666667,0.5
15-3662-55240,8,7.55,0.5
15-3754-55732,37,6.77027027,5.1
15-3755-55568,6,6.1,0.6
15-3786-56088,20,7.682,2.09
15-3795-55615,25,7.964,5.3
15-3895-55970,24,9.214583333,8.17
15-3974-57298,16,14.48125,12.6
15-3982-55227,25,6.092,0.5
15-4058-55081,23,2.908695652,0.5
15-4100-55022,19,4.284210526,0.3
15-4109-56434,28,4.757142857,2.3
15-4115-55351,24,5.9875,2.9
15-4124-55428,19,6.268421053,0.8
15-4127-55299,12,4.741666667,0.5
15-4131-55595,33,6.572727273,1
15-4148-55077,20,7.395,6
15-4153-55253,30,10.95733333,8.84
15-4172-56262,29,0.979310345,0.2
15-4185-55186,19,3.8,0.5
15-4187-56135,30,13.248,10.76
15-4216-54977,14,3.635714286,0.1
15-4218-54877,15,5.513333333,2.2
15-4238-55430,,,
15-4250-55493,89,11.2411236,10.6
15-4255-56385,52,8.697307692,6.74
15-4270-56011,42,12.48095238,11.3
15-4279-55138,29,11.76896552,9.1
15-4298-55335,23,8.32173913,3.6
15-4304-57399,20,5.24,0.9
15-4305-55763,26,8.838461538,7.9
15-4342-54693,20,8.989,6.85
15-4351-55357,24,7.983333333,1.8
15-4356-54806,42,4.69047619,0.1
15-4356-57093,13,5.794615385,4.37
15-4375-54620,31,5.76516129,0.23
15-4390-54514,21,8.966666667,7
15-4390-55083,35,9.954285714,2.6
15-4395-54864,24,9.204166667,1.75
15-4396-54165,13,6.015384615,0.5
15-4399-55286,27,11.45185185,9.5
15-4403-54276,6,6.793333333,0.48
15-4414-56807,7,1.871428571,1.2
15-4417-55173,32,7.965625,2.3
15-4430-54221,19,7.340526316,0.47
15-4431-54685,8,7.3375,7
15-4452-55268,24,10.1625,8.7
15-4470-55367,21,6,0
15-4479-54411,28,9.228571429,7.9
