Waterbody_LID,Lake_Name,Cycle,AreaCalcm2,Perim__m2,Strahler,Shreve,MinElev,MaxElev,MeanElev,SDElev,GDD8110,TertiaryWS,QuaternWS
15-3523-55336,South Scot L.,1,4057654.55,27984.64,4,35,320.2802124,329.2735596,322.3966048,0.838461199,1738.355591,05PE,5PE-02
15-3532-55170,Whitefish L.,1,2176027.77,20531.66,2,2,368.4230957,377.3540039,370.2894051,0.873011967,1750.760539,05PE,5PE-03
15-3543-56122,Wingiskus L.,1,6947727.21,29634.4,4,37,329.7075806,348.2163696,335.9086058,1.515783942,1638.434555,05RA,5RA-03
15-3545-55924,Bain L.,1,1441339.97,14377.63,3,7,353.0197754,360.5909729,354.2940597,0.925710732,1664.889282,05PJ,5PJ-01
15-3559-55281,Malachi L.,1,10545104.2,41828.92,3,22,323.0162354,335.176178,326.6318515,1.60602349,1743.906982,05PE,5PE-03
15-3653-55394,Cygnet L.,1,13179395.79,55021.09,4,113,309.9391785,321.5230713,311.2893223,1.132814468,1736.750663,05PE,5PE-03
15-3654-55172,Pickerel L.,1,6038669.22,36565.39,3,9,340.4415588,349.3195496,343.2781665,1.177548294,1757.029633,05PE,5PE-01
15-3662-55240,Pelicanpouch L.,1,9254756.12,52736.89,4,36,331.0490723,342.7874756,333.5742787,1.157647884,1752.975494,05PE,5PE-03
15-3754-55732,Umfreville L.,1,156099306.2,537550.23,8,"28,778",301.7505798,335.9463196,316.9378934,1.864087156,1686.794246,05QE,5QE-01
15-3755-55568,Blueberry L.,1,1256921.29,9706.26,3,11,322.5820313,339.525177,326.0486383,2.309180165,1715.255981,05PE,5PE-01
15-3786-56088,Dowswell L.,1,1972230.12,12181.31,2,5,378.5400085,390.2369385,382.8055146,1.189740362,1634.03241,05PJ,5PJ-02
15-3795-55615,Snook L.,1,3022544.79,23504.35,4,20,332.828125,362.2864685,338.1103237,2.787539837,1708.352808,05QE,5QE-01
15-3895-55970,Wyder L.,1,2663115.31,29808.16,2,9,375.9453735,392.6095886,378.3702949,1.888303909,1644.652669,05QE,5QE-02
15-3925-55861,Fletcher L.,1,9131944.41,49323.72,6,728,319.5208435,341.2360535,322.5645286,2.113088178,1663.065525,05QE,5QE-02
15-3974-57298,Cairns L.,1,52260978.57,160838.7,3,28,363.5646057,378.6175537,365.4085539,1.128362193,1489.866439,05RC, 
15-3982-55227,Black Sturgeon L.s,1,15414175.61,72199.02,5,316,307.774231,322.4704285,313.5695115,2.104650989,1771.525428,05PE,5PE-04
15-3982-55227,Black Sturgeon L.s,1,13496404.4,56452.29,5,316,310.5491638,327.7822266,314.792744,1.730744337,1774.589223,05PE,5PE-04
15-4058-55081,Longbow L.,1,6966518.69,35942.69,3,19,323.6460266,334.1127014,327.3232074,1.231581201,1777.616846,05PD,5PD-01
15-4100-55022,Blindfold L.,1,2818159.45,28506.81,5,185,322.0022888,331.6029053,323.455407,0.720361966,1768.348572,05PD,5PD-08
15-4109-56434,Onnie L.,1,1653822.36,11363.33,3,21,376.0749817,399.2050781,379.6243393,2.278647699,1561.114665,05QC,5QC-02
15-4115-55351,Cross L.,1,1085395.47,9437.59,3,8,371.1763,385.8696899,373.2277338,1.718493445,1743.76,05PE,5PE-04
15-4124-55428,Old Man L.,1,1607977.98,12246.65,4,42,339.9017639,358.6077576,345.1733297,1.73772757,1730.271566,05QE,5QE-01
15-4127-55299,Plum L.,1,735685.62,6932.82,3,9,355.3822327,363.2002258,357.0274203,1.076479566,1753.065552,05PE,5PE-04
15-4131-55595,Big Fox L.,1,14280610.72,94512.29,8,"28,847",315.2404175,333.5166626,318.474542,1.536347435,1700.131053,05QE,5QE-01
15-4148-55077,Dogtooth L.,1,25708022.4,204551.44,5,138,340.0927124,356.1594238,345.4489821,1.67965061,1762.472874,05PD,5PD-07
15-4153-55253,Silver L.,1,24725260.46,40701.16,4,59,331.4482117,355.5716248,340.3169012,2.289557304,1754.850942,05PE,5PE-04
15-4172-56262,Longlegged L.,1,24440750.47,73522.9,6,277,360.3782349,376.7651978,363.2634139,1.071080092,1580.396393,05QE,5QE-03
15-4185-55186,Base L.,1,552030.32,7841.06,2,2,361.7964172,369.068634,364.1238536,1.108869089,1756.227173,05PE,5PE-04
15-4187-56135,Confusion L.,1,14614250.02,75903.89,5,194,363.2051697,383.3185425,367.5085837,1.16730928,1604.843872,05QE,5QE-02
15-4216-54977,Andy L.,1,1632535,13092.61,3,8,357.7610779,363.7269287,359.072725,0.847659173,1752.813721,05PD,5PD-07
15-4218-54877,Black L.,1,3337572.04,23353.77,4,37,335.5089111,344.8349304,339.2889011,1.532285117,1747.344889,05PD,5PD-07
15-4238-55430,Tom L.,1,570542.81,7700.57,2,3,391.7932434,404.5314026,396.5235207,2.074563826,1718.488647,05QE,5QE-01
15-4250-55493,Delaney L.,1,12784265.51,38481.04,3,26,326.2866211,355.2706604,329.6285668,2.026818569,1707.552867,05QE,5QE-01
15-4255-56385,Upper Medicine Stone L.,1,10778008.16,43837.39,4,36,375.9463196,391.6464539,378.3892611,1.303504208,1554.50105,05QC,5QC-02
15-4269-56605,Hammell L.,1,8354784.76,46377.74,4,47,381.1828308,402.557312,387.2667778,1.820346335,1524.014422,05QC,5QC-02
15-4270-56011,Conifer L.,1,11385203.26,30418.13,4,17,347.8682556,379.8730774,350.4590545,2.261643483,1613.671114,05QE,5QE-01
15-4279-55138,Hawk L.,1,8886725.24,48722.27,3,49,378.1968384,393.6688232,381.4994295,1.540873256,1743.111847,05PD,5PD-07
15-4298-55335,Big Island L.,1,1291662.66,11972.85,3,18,394.0002747,401.993103,395.3207546,1.18901088,1724.630981,05QD,5QD-05
15-4304-57399,Pikangikum L.,1,60688725.17,230091.56,7,"2,396",320.5787964,343.0555725,325.3950485,1.470641945,1462.828255,05RC, 
15-4305-55763,Tide L.,1,13534412.14,45289.27,8,"21,339",316.4680176,335.1237183,319.2207133,1.166910743,1655.967058,05QE,5QE-01
15-4342-54693,Dogpaw L.,1,19751225.91,79117.08,6,886,317.0100098,335.3854065,326.2512925,2.279061114,1725.603294,05PD,5PD-01
15-4351-55357,Shrub L.,1,5518932.65,43376.26,4,92,386.9489136,403.1236572,395.3156488,1.708539268,1716.252842,05QD,5QD-05
15-4356-54806,Unnamed L. (NL_Kenora),1,1764548.61,13550.09,4,33,324.6639709,337.4506226,331.7268038,2.313054286,1728.286499,05PD,5PD-07
15-4356-57093,Kirkness L.,1,21471342.81,52857.89,4,34,376.9904785,400.9708252,379.3670815,1.288296029,1483.189221,05RC,5RC-06
15-4375-54620,Cedartree L.,1,5340760.82,33702.57,4,116,317.0100098,338.6192322,328.815636,3.55354328,1719.632019,05PD,5PD-05
15-4383-55582,Wolf L.,1,1115078.6,5380.99,4,34,324.2018738,338.7038879,325.6934069,1.918648742,1679.450562,05QD,5QD-01
15-4390-54514,Kakagi L.,1,110780754.7,421990.85,4,104,317.0100098,358.4111633,336.5876858,4.235516377,1714.336877,05PD,5PD-05
15-4390-55083,Porcus L.,1,5253792.79,19858.81,3,7,389.3544922,408.8297729,392.1500271,1.417762155,1727.215678,05PD,5PD-07
15-4395-54864,Dryberry L.,1,95094797.39,371461.29,6,349,342.6063843,357.6542053,347.8601524,1.589434144,1726.71175,05PD,5PD-07
15-4396-54165,Off L.,1,4462099.87,16430.73,4,40,350,361.2084961,352.0933756,1.283805179,1686.308228,05PB,5PB-03
15-4399-55286,Daniels L.,1,16325796.73,101182.45,4,53,396.7074585,416.5226135,402.5602531,1.497538447,1714.841046,05QD,5QD-05
15-4403-54276,Little Kishkutena L.,1,636862.7,7152.22,4,18,341.5467529,348.4768982,344.0210798,1.089935277,1694.79541,05PD,5PD-04
15-4414-56807,Little Vermilion L.,1,55023876.34,165254.79,6,"1,150",362.3171997,378.9518738,366.3329817,1.245130973,1498.205631,05QC,5QC-05
15-4417-55173,Windermere L.,1,933069.55,12289.94,4,27,393.5663757,404.1549377,397.0625254,1.606360948,1721.767456,05QD,5QD-02
15-4430-54221,Burditt L.,1,14522383.79,58740,5,195,347.4940186,358.9224854,350.2872661,0.725419495,1690.142681,05PB,5PB-03
15-4431-54685,Caviar L.,1,30974355.76,198300.42,6,878,317.0100098,336.3851013,327.3279957,2.445745717,1717.143712,05PD,5PD-05
15-4450-55883,Oak L.,1,41360925.3,141387.35,8,"28,847",318.8872681,341.7507935,321.208118,1.442274257,1625.39609,05QE,5QE-01
15-4452-55268,Little Gordon L.,1,1786130.19,6719.79,2,4,408.1096191,415.0955811,411.6792237,1.055010034,1710.993774,05QD,5QD-05
15-4470-55367,Canyon L.,1,17017271.1,94401.24,6,419,369.1888123,391.3912354,373.9149474,2.364125887,1694.489605,05QD,5QD-05
15-4479-54411,Katimiagamak L.,1,10882047.57,58706.09,4,24,360.48526,373.2955322,363.8372802,1.206369861,1700.852856,05PD,5PD-04
15-4487-55234,Augite L.,1,1068135.38,9378.22,4,18,389.6099548,400.8979492,394.3895004,1.618172249,1708.806274,05QD,5QD-05
15-4495-55118,Winnange L.,1,24423200.21,104200.92,5,122,365.3408203,387.9631958,369.3036162,2.087454143,1713.070306,05QD,5QD-02
15-4512-54200,West Jackfish L.,1,9027672.1,49603.49,5,76,349.7328796,361.0449219,353.1635214,2.597221457,1685.747571,05PB,5PB-03
15-4525-57350,Berens L.,1,26666363.92,112071.79,7,"3,420",325.2804871,343.2154236,328.7644682,2.006413282,1456.092925,05RC, 
15-4557-54838,Populus L.,1,8059429.57,85930,4,91,357.3503113,368.7828674,360.1864447,1.357155605,1708.865789,05PD,5PD-05
15-4562-54445,Schistose L.,1,3393134.71,22311,4,32,352.6030884,364.2571411,354.683332,1.261865511,1698.097127,05PB,5PB-03
15-4579-53993,Wasaw L.,1,1699199.23,8314.88,3,8,352.7961731,357.8184814,353.9350733,0.691501852,1676.362183,05PB,5PB-02
15-4589-56848,Coli L.,1,21186284.02,48875.57,3,13,408.6647339,424.8025208,410.2780413,1.077876631,1488.112803,05QC,5QC-06
15-4593-54629,Rowan L.,1,51348269.51,271639.44,6,356,338.6938782,353.6459961,343.0724434,1.944406484,1702.316311,05PD,5PD-06
15-4595-54375,Pipestone L.,1,36800445.2,223344.17,5,163,348.7471619,367.8212891,354.0159572,1.639633552,1691.991699,05PB,5PB-03
15-4602-54790,Atikwa L.,1,52301520.61,338004.77,5,245,352.1512756,369.1478577,358.1991904,1.238604866,1704.797536,05PD,5PD-05
15-4602-55724,Sup L.,1,6769279.91,20739.29,4,38,356.8730469,373.2255554,358.3368642,1.202456691,1638.766724,05QE,5QE-05
15-4606-55329,Edward L.,1,5591201.85,27722.72,5,65,374.538147,381.5496521,377.7017836,0.960718441,1689.788554,05QD,5QD-05
15-4610-54218,Calder L.,1,1016221.74,10228.01,3,6,354.6020203,363.7065125,358.0009112,1.179682498,1683.78,05PB,5PB-03
15-4613-57020,Nungesser L.,1,74270756.56,230887.58,5,225,387.9216003,402.6600037,389.4637029,1.243885678,1476.792735,05QC,5QC-06
