"","WATERBODY_LID","Count.of.DO","Average.of.DO","Total.DO","X","FMZ","Waterbody_Name","BSM_Project_Name","Cycle","Lake_Size_Class","Target.Species","Sample_Date","UTM_Easting","UTM_Northing","Secchi_Depth","DOC","pH","SSO4UR","WATERBODY_CODE","LOCNAME","TWS_code","LO","LOCATION_NAME","SPECIES_NAME","SAMPLE_YEAR","SAMPLE_DATE","LENGTH_CM","WEIGHT_GRAM","SEX","VALUE","lat","long"
"1","15-3532-55170",20,9.62,192.4,10408,5,"Whitefish L.","Z05_CY01_Whitefis",1,"50-500","Walleye","2010-05-07",354257,5517913,3,6.8,6.9,1.9,49479502,"Whitefish Lake","05PE",-9999,"Whitefish Lake","Walleye",2010,"20-Jun-10",68.9,3215,"F",2.5,49.78916667,-95.03972222
"2","15-3532-55170",20,9.62,192.4,10409,5,"Whitefish L.","Z05_CY01_Whitefis",1,"50-500","Walleye","2010-05-07",354257,5517913,3,6.8,6.9,1.9,49479502,"Whitefish Lake","05PE",-9999,"Whitefish Lake","Walleye",2010,"20-Jun-10",35.8,357,"M",0.36,49.78916667,-95.03972222
"3","15-3532-55170",20,9.62,192.4,10410,5,"Whitefish L.","Z05_CY01_Whitefis",1,"50-500","Walleye","2010-05-07",354257,5517913,3,6.8,6.9,1.9,49479502,"Whitefish Lake","05PE",-9999,"Whitefish Lake","Walleye",2010,"20-Jun-10",36,391,"F",0.38,49.78916667,-95.03972222
"4","15-3532-55170",20,9.62,192.4,10411,5,"Whitefish L.","Z05_CY01_Whitefis",1,"50-500","Walleye","2010-05-07",354257,5517913,3,6.8,6.9,1.9,49479502,"Whitefish Lake","05PE",-9999,"Whitefish Lake","Walleye",2010,"20-Jun-10",37.8,435,"F",0.48,49.78916667,-95.03972222
"5","15-3532-55170",20,9.62,192.4,10412,5,"Whitefish L.","Z05_CY01_Whitefis",1,"50-500","Walleye","2010-05-07",354257,5517913,3,6.8,6.9,1.9,49479502,"Whitefish Lake","05PE",-9999,"Whitefish Lake","Walleye",2010,"20-Jun-10",43.2,652,"M",0.66,49.78916667,-95.03972222
"6","15-3532-55170",20,9.62,192.4,10413,5,"Whitefish L.","Z05_CY01_Whitefis",1,"50-500","Walleye","2010-05-07",354257,5517913,3,6.8,6.9,1.9,49479502,"Whitefish Lake","05PE",-9999,"Whitefish Lake","Walleye",2010,"20-Jun-10",52.7,1283,"M",1,49.78916667,-95.03972222
"7","15-3532-55170",20,9.62,192.4,10414,5,"Whitefish L.","Z05_CY01_Whitefis",1,"50-500","Walleye","2010-05-07",354257,5517913,3,6.8,6.9,1.9,49479502,"Whitefish Lake","05PE",-9999,"Whitefish Lake","Walleye",2010,"20-Jun-10",56.6,1657,"F",0.81,49.78916667,-95.03972222
"8","15-3532-55170",20,9.62,192.4,10415,5,"Whitefish L.","Z05_CY01_Whitefis",1,"50-500","Walleye","2010-05-07",354257,5517913,3,6.8,6.9,1.9,49479502,"Whitefish Lake","05PE",-9999,"Whitefish Lake","Walleye",2010,"20-Jun-10",58.6,1737,"F",1.2,49.78916667,-95.03972222
"9","15-3532-55170",20,9.62,192.4,10416,5,"Whitefish L.","Z05_CY01_Whitefis",1,"50-500","Walleye","2010-05-07",354257,5517913,3,6.8,6.9,1.9,49479502,"Whitefish Lake","05PE",-9999,"Whitefish Lake","Walleye",2010,"20-Jun-10",64.4,2613,"F",1.9,49.78916667,-95.03972222
"10","15-3532-55170",20,9.62,192.4,10417,5,"Whitefish L.","Z05_CY01_Whitefis",1,"50-500","Walleye","2010-05-07",354257,5517913,3,6.8,6.9,1.9,49479502,"Whitefish Lake","05PE",-9999,"Whitefish Lake","Walleye",2010,"20-Jun-10",68.4,2871,"F",1.9,49.78916667,-95.03972222
"11","15-3532-55170",20,9.62,192.4,10418,5,"Whitefish L.","Z05_CY01_Whitefis",1,"50-500","Walleye","2010-05-07",354257,5517913,3,6.8,6.9,1.9,49479502,"Whitefish Lake","05PE",-9999,"Whitefish Lake","Walleye",2010,"20-Jun-10",71.1,2990,"F",2.6,49.78916667,-95.03972222
"12","15-3532-55170",20,9.62,192.4,10419,5,"Whitefish L.","Z05_CY01_Whitefis",1,"50-500","Walleye","2010-05-07",354257,5517913,3,6.8,6.9,1.9,49479502,"Whitefish Lake","05PE",-9999,"Whitefish Lake","Northern Pike",2010,"20-Jun-10",46.9,511,"M",0.48,49.78916667,-95.03972222
"13","15-3532-55170",20,9.62,192.4,10420,5,"Whitefish L.","Z05_CY01_Whitefis",1,"50-500","Walleye","2010-05-07",354257,5517913,3,6.8,6.9,1.9,49479502,"Whitefish Lake","05PE",-9999,"Whitefish Lake","Northern Pike",2010,"20-Jun-10",52.2,723,"F",0.44,49.78916667,-95.03972222
"14","15-3532-55170",20,9.62,192.4,10421,5,"Whitefish L.","Z05_CY01_Whitefis",1,"50-500","Walleye","2010-05-07",354257,5517913,3,6.8,6.9,1.9,49479502,"Whitefish Lake","05PE",-9999,"Whitefish Lake","Northern Pike",2010,"20-Jun-10",53.1,831,"M",0.56,49.78916667,-95.03972222
"15","15-3532-55170",20,9.62,192.4,10422,5,"Whitefish L.","Z05_CY01_Whitefis",1,"50-500","Walleye","2010-05-07",354257,5517913,3,6.8,6.9,1.9,49479502,"Whitefish Lake","05PE",-9999,"Whitefish Lake","Northern Pike",2010,"20-Jun-10",57.2,1046,"M",0.68,49.78916667,-95.03972222
"16","15-3532-55170",20,9.62,192.4,10423,5,"Whitefish L.","Z05_CY01_Whitefis",1,"50-500","Walleye","2010-05-07",354257,5517913,3,6.8,6.9,1.9,49479502,"Whitefish Lake","05PE",-9999,"Whitefish Lake","Northern Pike",2010,"20-Jun-10",62.6,1374,"M",0.93,49.78916667,-95.03972222
"17","15-3532-55170",20,9.62,192.4,10424,5,"Whitefish L.","Z05_CY01_Whitefis",1,"50-500","Walleye","2010-05-07",354257,5517913,3,6.8,6.9,1.9,49479502,"Whitefish Lake","05PE",-9999,"Whitefish Lake","Northern Pike",2010,"20-Jun-10",63.4,1258,"M",1.1,49.78916667,-95.03972222
"18","15-3532-55170",20,9.62,192.4,10425,5,"Whitefish L.","Z05_CY01_Whitefis",1,"50-500","Walleye","2010-05-07",354257,5517913,3,6.8,6.9,1.9,49479502,"Whitefish Lake","05PE",-9999,"Whitefish Lake","Northern Pike",2010,"20-Jun-10",67.1,1246,"F",1.6,49.78916667,-95.03972222
"19","15-3532-55170",20,9.62,192.4,10426,5,"Whitefish L.","Z05_CY01_Whitefis",1,"50-500","Walleye","2010-05-07",354257,5517913,3,6.8,6.9,1.9,49479502,"Whitefish Lake","05PE",-9999,"Whitefish Lake","Northern Pike",2010,"20-Jun-10",67.3,1510,"F",1,49.78916667,-95.03972222
"20","15-3532-55170",20,9.62,192.4,10427,5,"Whitefish L.","Z05_CY01_Whitefis",1,"50-500","Walleye","2010-05-07",354257,5517913,3,6.8,6.9,1.9,49479502,"Whitefish Lake","05PE",-9999,"Whitefish Lake","Walleye",2010,"20-Jun-10",66.7,2937,"F",1.5,49.78916667,-95.03972222
"21","15-3532-55170",20,9.62,192.4,10428,5,"Whitefish L.","Z05_CY01_Whitefis",1,"50-500","Walleye","2010-05-07",354257,5517913,3,6.8,6.9,1.9,49479502,"Whitefish Lake","05PE",-9999,"Whitefish Lake","Northern Pike",2010,"20-Jun-10",56.6,847,"F",0.58,49.78916667,-95.03972222
"22","15-3532-55170",20,9.62,192.4,10429,5,"Whitefish L.","Z05_CY01_Whitefis",1,"50-500","Walleye","2010-05-07",354257,5517913,3,6.8,6.9,1.9,49479502,"Whitefish Lake","05PE",-9999,"Whitefish Lake","Northern Pike",2010,"20-Jun-10",68.4,1587,"F",1.4,49.78916667,-95.03972222
"23","15-3532-55170",20,9.62,192.4,10430,5,"Whitefish L.","Z05_CY01_Whitefis",1,"50-500","Walleye","2010-05-07",354257,5517913,3,6.8,6.9,1.9,49479502,"Whitefish Lake","05PE",-9999,"Whitefish Lake","Walleye",2010,"20-Jun-10",35.2,318,"F",0.46,49.78916667,-95.03972222
"24","15-3559-55281",17,6.305882353,107.2,8278,5,"Malachi L.","Z05_CY01_MalachiL",1,"500-1500","Walleye","2010-05-07",356342,5530202,2.299999952,8.4,7.06,1.8,49539500,"Malachi Lake","05PE",-9999,"Malachi Lake","Smallmouth Bass",2010,"19-Jun-10",39.1,885,"F",0.88,49.89027778,-95.00638889
"25","15-3559-55281",17,6.305882353,107.2,8279,5,"Malachi L.","Z05_CY01_MalachiL",1,"500-1500","Walleye","2010-05-07",356342,5530202,2.299999952,8.4,7.06,1.8,49539500,"Malachi Lake","05PE",-9999,"Malachi Lake","Smallmouth Bass",2010,"19-Jun-10",38.6,784,"F",0.68,49.89027778,-95.00638889
"26","15-3559-55281",17,6.305882353,107.2,8280,5,"Malachi L.","Z05_CY01_MalachiL",1,"500-1500","Walleye","2010-05-07",356342,5530202,2.299999952,8.4,7.06,1.8,49539500,"Malachi Lake","05PE",-9999,"Malachi Lake","Northern Pike",2010,"19-Jun-10",48.3,700,"M",0.46,49.89027778,-95.00638889
"27","15-3559-55281",17,6.305882353,107.2,8281,5,"Malachi L.","Z05_CY01_MalachiL",1,"500-1500","Walleye","2010-05-07",356342,5530202,2.299999952,8.4,7.06,1.8,49539500,"Malachi Lake","05PE",-9999,"Malachi Lake","Northern Pike",2010,"19-Jun-10",50.7,779,"F",0.38,49.89027778,-95.00638889
"28","15-3559-55281",17,6.305882353,107.2,8282,5,"Malachi L.","Z05_CY01_MalachiL",1,"500-1500","Walleye","2010-05-07",356342,5530202,2.299999952,8.4,7.06,1.8,49539500,"Malachi Lake","05PE",-9999,"Malachi Lake","Northern Pike",2010,"19-Jun-10",56,1000,"F",0.26,49.89027778,-95.00638889
"29","15-3559-55281",17,6.305882353,107.2,8283,5,"Malachi L.","Z05_CY01_MalachiL",1,"500-1500","Walleye","2010-05-07",356342,5530202,2.299999952,8.4,7.06,1.8,49539500,"Malachi Lake","05PE",-9999,"Malachi Lake","Northern Pike",2010,"19-Jun-10",62.6,1381,"F",0.42,49.89027778,-95.00638889
"30","15-3559-55281",17,6.305882353,107.2,8284,5,"Malachi L.","Z05_CY01_MalachiL",1,"500-1500","Walleye","2010-05-07",356342,5530202,2.299999952,8.4,7.06,1.8,49539500,"Malachi Lake","05PE",-9999,"Malachi Lake","Northern Pike",2010,"19-Jun-10",67.4,2099,"F",0.4,49.89027778,-95.00638889
"31","15-3559-55281",17,6.305882353,107.2,8285,5,"Malachi L.","Z05_CY01_MalachiL",1,"500-1500","Walleye","2010-05-07",356342,5530202,2.299999952,8.4,7.06,1.8,49539500,"Malachi Lake","05PE",-9999,"Malachi Lake","Northern Pike",2010,"19-Jun-10",69,2060,"F",0.45,49.89027778,-95.00638889
"32","15-3559-55281",17,6.305882353,107.2,8286,5,"Malachi L.","Z05_CY01_MalachiL",1,"500-1500","Walleye","2010-05-07",356342,5530202,2.299999952,8.4,7.06,1.8,49539500,"Malachi Lake","05PE",-9999,"Malachi Lake","Northern Pike",2010,"19-Jun-10",73.8,2780,"F",1,49.89027778,-95.00638889
"33","15-3559-55281",17,6.305882353,107.2,8287,5,"Malachi L.","Z05_CY01_MalachiL",1,"500-1500","Walleye","2010-05-07",356342,5530202,2.299999952,8.4,7.06,1.8,49539500,"Malachi Lake","05PE",-9999,"Malachi Lake","Northern Pike",2010,"19-Jun-10",77.1,2379,"F",1.7,49.89027778,-95.00638889
