Join_Count,WATERBODY_LID,WATEBODY_NAME,WET,NATURE,AGRI,DISTURB,BEDROCK,URBAN,SUM,WET_P,NATURE_P,AGRI_P,DISTURB_P,BEDROCK_P,URBAN_P
28,16-7102-54270,Gull L.,2182,1638,0,2501,0,0,6321,0.345198545,0.259136213,0,0.395665243,0,0
19,16-7122-53960,Tatnall L.,4440,5182,0,8686,0,0,18308,0.242516932,0.283045663,0,0.474437404,0,0
40,16-6420-54760,Nagagami L.,56500,0,0,0,0,0,56500,1,0,0,0,0,0
29,16-6683-54413,Haken L.,5995,5101,0,5151,8,18,16273,0.368401647,0.31346402,0,0.316536594,0.000491612,0.001106127
23,16-6583-54325,"Placid, L.",2953,1486,0,1887,0,0,6326,0.466803667,0.234903573,0,0.29829276,0,0
28,16-6439-54864,Hiawatha L.,9875,4413,0,4886,0,120,19294,0.511817145,0.228723956,0,0.253239349,0,0.00621955
38,16-6398-54390,Shekak L.,16617,6784,0,2463,0,0,25864,0.642476028,0.262295082,0,0.09522889,0,0
36,16-6697-54829,Nagagamisis L.,40614,30910,0,3797,1,985,76307,0.532244748,0.40507424,0,0.049759524,1.31E-05,0.012908383
31,16-6991-54320,Cameron L.,28237,6433,0,6082,0,0,40752,0.692898508,0.157857283,0,0.149244209,0,0
24,15-6881-55875,Silver L.,4935,4241,0,600,6,286,10068,0.490166865,0.421235598,0,0.059594756,0.000595948,0.028406834
23,15-6895-56512,Pashkokogan L.,98072,38735,0,4082,11,213,141113,0.694989122,0.274496326,0,0.028927172,7.80E-05,0.001509429
19,15-6908-56374,McCrea L.,70867,46896,0,0,0,0,117763,0.601776449,0.398223551,0,0,0,0
16,15-6733-56270,Minchin L.,28213,32527,0,0,11,195,60946,0.462917993,0.533701966,0,0,0.000180488,0.003199554
31,17-3736-53361,Carty L.,7511,19516,0,657,0,0,27684,0.271311949,0.704955931,0,0.02373212,0,0
15,17-5018-53686,Night Hawk L.,149037,237731,0,16981,0,789,404538,0.368412856,0.587660492,0,0.041976279,0,0.001950373
13,17-5314-53425,Watabeag L.,32282,107832,0,10370,0,0,150484,0.214521145,0.716567874,0,0.068910981,0,0
41,17-5547-55801,Kesagami L.,381039,38602,0,3302,0,120,423063,0.900667277,0.091244094,0,0.007804984,0,0.000283646
30,17-2953-54198,Lower Minnipuka L.,10566,14307,0,1158,0,48,26079,0.405153572,0.548602324,0,0.044403543,0,0.001840561
38,17-4935-53022,Dumbell L.,2423,9149,0,11,0,0,11583,0.209185876,0.789864457,0,0.000949668,0,0
33,17-5180-53389,Radisson L.,7112,23078,0,2510,0,0,32700,0.217492355,0.705749235,0,0.07675841,0,0
20,17-3563-53717,Kapuskasing L.,25210,89260,0,3108,0,0,117578,0.214410859,0.759155624,0,0.026433516,0,0
30,17-3790-55066,Zadi L.,10859,2491,0,9200,0,151,22701,0.478348971,0.109730849,0,0.40526849,0,0.006651689
40,17-4019-55121,Guilfoyle L.,17189,6558,0,4895,0,84,28726,0.598377776,0.228294924,0,0.170403119,0,0.00292418
9,17-3006-53592,Missinaibi L.,667,3865,0,0,0,0,4532,0.14717564,0.85282436,0,0,0,0
4,17-3426-53189,Nemegosenda L.,23421,116218,0,9172,0,0,148811,0.157387559,0.780977213,0,0.061635229,0,0
35,17-3788-53266,Ivanhoe L.,17792,58282,0,4946,0,0,81020,0.219600099,0.719353246,0,0.061046655,0,0
32,17-3606-52610,Wakami L.,24203,57816,0,3257,0,0,85276,0.283819598,0.677986772,0,0.03819363,0,0
33,17-4061-52742,Opeepeesway L.,36155,94725,0,5902,0,0,136782,0.264325715,0.692525332,0,0.043148952,0,0
39,17-4148-52820,Rice L.,33500,69784,0,321,0,0,103605,0.323343468,0.673558226,0,0.003098306,0,0
7,17-3804-53044,Hanson L.,2394,13037,0,1627,0,0,17058,0.140344706,0.764274827,0,0.095380467,0,0
9,17-4372-52874,Makami L.,2286,18846,0,2500,0,0,23632,0.096733243,0.797477996,0,0.105788761,0,0
21,17-3730-53082,Little Ridley L.,836,2599,0,2612,0,0,6047,0.138250372,0.429799901,0,0.431949727,0,0
23,17-4773-53267,Muskasenda L.,8354,40035,0,9182,0,0,57571,0.14510778,0.695402199,0,0.159490021,0,0
27,17-4591-53367,Kenogamissi L.,43068,171756,0,19611,0,0,234435,0.18370977,0.732638045,0,0.083652185,0,0
24,17-4271-53064,Katagi L.,3711,19708,0,1775,0,0,25194,0.147296975,0.782249742,0,0.070453283,0,0
18,17-4553-53202,Indian L.,697,5527,0,433,0,0,6657,0.104701818,0.830253868,0,0.065044314,0,0
15,17-5202-54735,Humestone L.,8657,6377,0,809,0,94,15937,0.543201355,0.400138044,0,0.050762377,0,0.005898224
58,17-5149-54886,Montreuil L.,21983,6780,0,1023,0,0,29786,0.73803129,0.227623716,0,0.034344994,0,0
30,17-5590-54756,Wasicho L.,5071,2538,0,517,0,35,8161,0.62136993,0.3109913,0,0.06335008,0,0.00428869
54,17-5694-55282,"20J-33, L.",4516,706,0,97,0,15,5334,0.846644169,0.132358455,0,0.018185227,0,0.002812148
14,17-5046-53895,Frederick House L.,44220,40208,0,5612,0,706,90746,0.487294206,0.443082891,0,0.061842946,0,0.007779957
21,15-6457-55062,Mattawa L.,33805,19581,0,9941,25,0,63352,0.533605885,0.309082586,0,0.156916909,0.000394621,0
26,15-7307-50900,Lac du Milieu,2238,6898,0,6110,0,0,15246,0.146792601,0.452446543,0,0.400760855,0,0
8,15-6493-54089,Union L.,3689,9135,0,1980,0,0,14804,0.249189408,0.617062956,0,0.133747636,0,0
11,15-6747-53842,Burchell L.,14938,18678,0,3724,0,0,37340,0.400053562,0.500214247,0,0.099732191,0,0
44,15-6723-53466,Northern Light L.,83863,116192,0,1849,0,0,201904,0.415360766,0.575481417,0,0.009157818,0,0
4,15-6531-54804,Selwyn L.,18411,14355,0,9100,87,200,42153,0.436766066,0.340545157,0,0.215880246,0.00206391,0.004744621
24,15-5209-57140,Wavell L.,12838,13568,0,0,0,0,26406,0.486177384,0.513822616,0,0,0,0
3,15-4579-53993,Wasaw L.,5711,24489,989,4826,0,0,36015,0.158572817,0.679966681,0.02746078,0.133999722,0,0
34,15-4593-54629,Rowan L.,64641,63286,0,5878,50,0,133855,0.482918083,0.472795189,0,0.04391319,0.000373539,0
15,15-4729-54570,Lawrence L.,23748,21749,0,2154,0,0,47651,0.498373591,0.45642274,0,0.045203668,0,0
12,15-4725-54467,Bluffpoint L.,6766,14287,0,3151,0,0,24204,0.279540572,0.590274335,0,0.130185093,0,0
