"","FMZ","Waterbody_Name","BSM_Project_Name","WATERBODY_LID","Cycle","Lake_Size_Class","Target.Species","Sample_Date","UTM_Easting","UTM_Northing","Secchi_Depth","DOC","pH","SSO4UR","WATERBODY_CODE","LOCNAME","TWS_code","LO","LOCATION_NAME","SPECIES_NAME","SAMPLE_YEAR","SAMPLE_DATE","LENGTH_CM","WEIGHT_GRAM","SEX","VALUE","lat","long"
"1",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Walleye",2009,"03-Jul-09",28.5,179,"",0.82,49.83055556,-91.9125
"2",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Walleye",2009,"03-Jul-09",32.2,271,"",0.62,49.83055556,-91.9125
"3",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Walleye",2009,"03-Jul-09",33.9,336,"",1.2,49.83055556,-91.9125
"4",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Walleye",2009,"03-Jul-09",36.5,410,"",0.86,49.83055556,-91.9125
"5",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Walleye",2009,"03-Jul-09",36.8,433,"",0.87,49.83055556,-91.9125
"6",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Walleye",2009,"03-Jul-09",37.4,470,"",1.1,49.83055556,-91.9125
"7",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Walleye",2009,"03-Jul-09",38.1,474,"F",0.77,49.83055556,-91.9125
"8",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Walleye",2009,"03-Jul-09",38.9,504,"",0.9,49.83055556,-91.9125
"9",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Walleye",2009,"03-Jul-09",39.9,623,"F",0.78,49.83055556,-91.9125
"10",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Walleye",2009,"03-Jul-09",41.5,564,"",1.4,49.83055556,-91.9125
"11",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Walleye",2009,"03-Jul-09",42,625,"",1.1,49.83055556,-91.9125
"12",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Walleye",2009,"03-Jul-09",46.6,840,"",1.8,49.83055556,-91.9125
"13",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Walleye",2009,"03-Jul-09",57.8,1930,"F",1.7,49.83055556,-91.9125
"14",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Walleye",2009,"03-Jul-09",58.5,1861,"M",1.9,49.83055556,-91.9125
"15",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Walleye",2009,"03-Jul-09",58.9,1730,"F",2,49.83055556,-91.9125
"16",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Northern Pike",2009,"03-Jul-09",43.3,405,"",0.6,49.83055556,-91.9125
"17",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Northern Pike",2009,"03-Jul-09",45.9,468,"",0.94,49.83055556,-91.9125
"18",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Northern Pike",2009,"03-Jul-09",49.6,648,"",0.52,49.83055556,-91.9125
"19",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Northern Pike",2009,"03-Jul-09",53.3,700,"F",1.2,49.83055556,-91.9125
"20",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Northern Pike",2009,"03-Jul-09",54.3,833,"",0.83,49.83055556,-91.9125
"21",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Northern Pike",2009,"03-Jul-09",59.1,951,"",0.97,49.83055556,-91.9125
"22",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Northern Pike",2009,"03-Jul-09",60.2,1346,"F",0.67,49.83055556,-91.9125
"23",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Northern Pike",2009,"03-Jul-09",66.5,1440,"",1.5,49.83055556,-91.9125
"24",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Northern Pike",2009,"03-Jul-09",76.6,2921,"F",1.9,49.83055556,-91.9125
"25",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Northern Pike",2009,"03-Jul-09",78.9,2766,"F",1.1,49.83055556,-91.9125
"26",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Walleye",2009,"03-Jul-09",37.9,491,"",0.93,49.83055556,-91.9125
"27",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Walleye",2009,"03-Jul-09",41.3,649,"",0.72,49.83055556,-91.9125
"28",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Walleye",2009,"03-Jul-09",49.4,996,"M",1.2,49.83055556,-91.9125
"29",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Walleye",2009,"03-Jul-09",55.1,1408,"F",1.4,49.83055556,-91.9125
"30",4,"Amik L.","Z04_CY01_AmikL","15-5782-55201",1,"500-1500","Walleye","2009-05-20",578861,5521680,1.799999952,14,7.12,1.4,49499154,"Amik Lake","05QA",-9999,"Amik Lake","Walleye",2009,"03-Jul-09",61.5,1992,"F",1.1,49.83055556,-91.9125
"31",4,"Arc L.","Z04_CY01_ArcL","15-6471-56202",1,"500-1500","Walleye","2009-05-21",646717,5621414,2.799999952,10.9,7.22,1.05,50439054,"Arc Lake","04GA",-9999,"Arc Lake","Northern Pike",2009,"16-Jul-09",52.4,675,"",0.78,50.71694444,-90.90666667
"32",4,"Arc L.","Z04_CY01_ArcL","15-6471-56202",1,"500-1500","Walleye","2009-05-21",646717,5621414,2.799999952,10.9,7.22,1.05,50439054,"Arc Lake","04GA",-9999,"Arc Lake","Northern Pike",2009,"16-Jul-09",54.6,835,"F",0.79,50.71694444,-90.90666667
"33",4,"Arc L.","Z04_CY01_ArcL","15-6471-56202",1,"500-1500","Walleye","2009-05-21",646717,5621414,2.799999952,10.9,7.22,1.05,50439054,"Arc Lake","04GA",-9999,"Arc Lake","Northern Pike",2009,"16-Jul-09",57.2,980,"F",0.79,50.71694444,-90.90666667
"34",4,"Arc L.","Z04_CY01_ArcL","15-6471-56202",1,"500-1500","Walleye","2009-05-21",646717,5621414,2.799999952,10.9,7.22,1.05,50439054,"Arc Lake","04GA",-9999,"Arc Lake","Northern Pike",2009,"16-Jul-09",84.1,3888,"F",2,50.71694444,-90.90666667
"35",4,"Arc L.","Z04_CY01_ArcL","15-6471-56202",1,"500-1500","Walleye","2009-05-21",646717,5621414,2.799999952,10.9,7.22,1.05,50439054,"Arc Lake","04GA",-9999,"Arc Lake","Northern Pike",2009,"16-Jul-09",64,1210,"",1.3,50.71694444,-90.90666667
"36",4,"Arc L.","Z04_CY01_ArcL","15-6471-56202",1,"500-1500","Walleye","2009-05-21",646717,5621414,2.799999952,10.9,7.22,1.05,50439054,"Arc Lake","04GA",-9999,"Arc Lake","Northern Pike",2009,"16-Jul-09",44.6,459,"",0.49,50.71694444,-90.90666667
"37",4,"Arc L.","Z04_CY01_ArcL","15-6471-56202",1,"500-1500","Walleye","2009-05-21",646717,5621414,2.799999952,10.9,7.22,1.05,50439054,"Arc Lake","04GA",-9999,"Arc Lake","Northern Pike",2009,"16-Jul-09",53.6,860,"M",0.48,50.71694444,-90.90666667
"38",4,"Arc L.","Z04_CY01_ArcL","15-6471-56202",1,"500-1500","Walleye","2009-05-21",646717,5621414,2.799999952,10.9,7.22,1.05,50439054,"Arc Lake","04GA",-9999,"Arc Lake","Northern Pike",2009,"16-Jul-09",67.5,1831,"M",0.8,50.71694444,-90.90666667
"39",4,"Arc L.","Z04_CY01_ArcL","15-6471-56202",1,"500-1500","Walleye","2009-05-21",646717,5621414,2.799999952,10.9,7.22,1.05,50439054,"Arc Lake","04GA",-9999,"Arc Lake","Northern Pike",2009,"16-Jul-09",61.3,1144,"F",1.1,50.71694444,-90.90666667
"40",4,"Arc L.","Z04_CY01_ArcL","15-6471-56202",1,"500-1500","Walleye","2009-05-21",646717,5621414,2.799999952,10.9,7.22,1.05,50439054,"Arc Lake","04GA",-9999,"Arc Lake","Walleye",2009,"16-Jul-09",49.3,846,"F",0.91,50.71694444,-90.90666667
"41",4,"Arc L.","Z04_CY01_ArcL","15-6471-56202",1,"500-1500","Walleye","2009-05-21",646717,5621414,2.799999952,10.9,7.22,1.05,50439054,"Arc Lake","04GA",-9999,"Arc Lake","Walleye",2009,"16-Jul-09",44.5,759,"F",0.87,50.71694444,-90.90666667
"42",4,"Arc L.","Z04_CY01_ArcL","15-6471-56202",1,"500-1500","Walleye","2009-05-21",646717,5621414,2.799999952,10.9,7.22,1.05,50439054,"Arc Lake","04GA",-9999,"Arc Lake","Walleye",2009,"16-Jul-09",47,852,"M",1.1,50.71694444,-90.90666667
"43",4,"Arc L.","Z04_CY01_ArcL","15-6471-56202",1,"500-1500","Walleye","2009-05-21",646717,5621414,2.799999952,10.9,7.22,1.05,50439054,"Arc Lake","04GA",-9999,"Arc Lake","Walleye",2009,"16-Jul-09",42.1,630,"F",1.6,50.71694444,-90.90666667
"44",4,"Arc L.","Z04_CY01_ArcL","15-6471-56202",1,"500-1500","Walleye","2009-05-21",646717,5621414,2.799999952,10.9,7.22,1.05,50439054,"Arc Lake","04GA",-9999,"Arc Lake","Walleye",2009,"16-Jul-09",30.1,217,"M",0.45,50.71694444,-90.90666667
"45",4,"Arc L.","Z04_CY01_ArcL","15-6471-56202",1,"500-1500","Walleye","2009-05-21",646717,5621414,2.799999952,10.9,7.22,1.05,50439054,"Arc Lake","04GA",-9999,"Arc Lake","Northern Pike",2009,"16-Jul-09",55.5,841,"",0.85,50.71694444,-90.90666667
