WATERBODY_CODE,Waterbody_LID,LOCNAME,TWS_code,neglondec,latdec,SA,LO
43048111,17-4857-47670,Thames River  N. Branch (St. M. to Fan.),02GD,-81.18666667,43.06527778,231.72,6
43468020,17-5535-48461,Belwood Lake,02GA,-80.33944444,43.75861111,522.45,6
44027916,17-6384-48765,Musselman Lake,02EC,-79.27305556,44.03083333,48.36,1
44058125,17-4665-48812,Silver Lake,02FC,-81.41916667,44.08527778,59.47,3
44097814,17-7257-48946,Otonabee River,02HJ,-78.23333333,44.15,9183.48,7
44107850,17-6715-48930,Lake Scugog,02HG,-78.85722222,44.18333333,6643.85,6
44127810,17-7257-48946,Rice Lake - off Otonabee River,02HJ,-78.22472222,44.14472222,9183.48,7
44147808,17-7257-48946,Rice Lake  - eastern end,02HJ,-78.12194444,44.21305556,9183.48,7
44187819,17-7146-49082,Otonabee River Little L.,02HJ,-78.30972222,44.2975,58.85,7
44247824,17-7076-49181,Chemong Lake,02HH,-78.39277778,44.38861111,1647.17,4
44247845,17-6820-49260,Scugog River - downstream of Lindsay,02HH,-78.75,44.4,4387.85,7
44257633,18-3760-49200,Sydenham Lake,02HM,-76.55666667,44.43083333,660.05,5
44257742,18-2850-49215,Rylstone Lake,02HK,-77.70166667,44.42305556,98.27,7
44257845,17-6820-49260,Sturgeon Lake (Goose Bay),02HH,-78.75305556,44.41472222,4387.85,7
44257940,17-6058-49199,Little Lake,02ED,-79.67083333,44.42666667,226.03,5
44267613,18-4028-49206,South Lake,02MA,-76.22138889,44.43416667,237.39,4
44277633,18-3760-49200,Mica Lake,02HM,-76.55,44.45,-9999,-9999
44277816,17-7182-49263,Katchewanooka Lake,02HH,-78.25861111,44.4575,334.01,7
44277830,17-6992-49270,Pigeon Lake,02HH,-78.49472222,44.47083333,4862.86,7
44287641,18-3661-49250,Hambly Lake,02HM,-76.68333333,44.46805556,72.76,3
44287843,17-6820-49260,Sturgeon Lake,02HH,-78.71666667,44.46666667,4387.85,7
44297823,17-7074-49293,Buckhorn Lake,02HH,-78.39583333,44.48444444,3131.57,7
44307727,18-3050-49285,Moira Lake,02HL,-77.45361111,44.48722222,852.68,6
44317749,18-2756-49309,Belmont Lake,02HK,-77.82666667,44.495,773.46,7
44327600,18-4196-49317,Charleston Lake,02MA,-76.01583333,44.53472222,2602.02,-9999
44327632,18-3782-49339,Birch Lake,02MA,-76.54166667,44.54777778,196.12,5
44327806,17-7310-49342,Dummer (White) Lake,02HJ,-78.09333333,44.52611111,181.2,1
44327818,17-7170-49371,Lower Buckhorn Lake,02HH,-78.27333333,44.55361111,1252.6,7
44337806,17-7310-49388,Stony Lake,02HH,-78.10888889,44.5625,2738.4,7
44337813,17-7197-49373,Lovesick Lake,02HH,-78.23333333,44.55722222,255.3,7
44338114,17-4822-49331,Chesley Lake,02FA,-81.22416667,44.55277778,207.79,2
44347616,18-3998-49356,Sand Lake,02MA,-76.26138889,44.56833333,890.96,6
44347823,17-7074-49389,Big Bald Lake,02HH,-78.38722222,44.57555556,196.53,4
44357647,18-3580-49390,Fourth Depot Lake,02HM,-76.78916667,44.59166667,40.01,5
44357659,18-3420-49390,Gull Lake,02HM,-76.99027778,44.58916667,21.36,4
44357700,18-3404-49395,Sheffield Long Lake,02HM,-77.00972222,44.59527778,92.26,5
44357750,18-2756-49393,Cordova Lake,02HK,-77.825,44.57527778,252.88,6
44357850,17-6712-49387,Balsam Lake,02HF,-78.84166667,44.58055556,4664.7,6
44367640,18-3677-49397,St. Andrew Lakes,02HM,-76.66944444,44.60444444,50.33,4
44367930,17-6187-49397,Bass Lake,02ED,-79.50666667,44.60333333,549.6,4
44387907,17-6500-49453,Dalrymple Lake,02EC,-79.10861111,44.64722222,1385.38,5
44397633,18-3767-49466,Burridge Lake,02LA,-76.55472222,44.66444444,95.07,3
44407922,17-6286-49481,Lake Couchiching,02EC,-79.37638889,44.66416667,4542.63,7
44417635,18-3741-49489,Bobs Lake,02LA,-76.58777778,44.68111111,1869.46,6
44417642,18-3651-49486,Eagle Lake,02LA,-76.69861111,44.68305556,641.16,4
44417658,18-3434-49499,Bull Lake,02HM,-76.97472222,44.68777778,136.6,5
44417845,17-6793-49499,Four Mile Lake,02HF,-78.73722222,44.68166667,758.33,4
44417919,17-6328-49494,Lake St. John,02EC,-79.325,44.68694444,654.11,4
44427919,17-6328-49494,Black River,02EC,-79.31666667,44.7,654.11,4
44437643,18-3640-49528,Leggat Lake,02LA,-76.72388889,44.71305556,181.95,3
