FMZ,Waterbody_Name,BSM_Project_Name,Waterbody_LID,Cycle,Lake_Size_Class,Target Species,Sample_Date,UTM_Easting,UTM_Northing,Secchi_Depth,ALKTI,CAUT,CLIDUR,COLTR,COND25,DIC,DOC,KKUT,MGUT,NAUT,NNHTUR,NNOTUR,NNTKUR,pH,PPUT,SIO3UR,SSO4UR,FEUT
4,Amik L.,Z04_CY01_AmikL,15-5782-55201,01,500-1500,Walleye,2009-05-20,578861,5521680,1.799999952,18.4,6.26,0.25,99.2,45,4.42,14,0.62,1.79,1.19,14,80,439,7.12,18.3,1.88,1.4,323
4,Arc L.,Z04_CY01_ArcL,15-6471-56202,01,500-1500,Walleye,2009-05-21,646717,5621414,2.799999952,19,6.46,0.16,70,44.4,4.68,10.9,0.535,1.68,0.665,18,64,274,7.22,7.6,1.62,1.05,106
4,Arethusa L.,Z04_CY01_Arethusa,15-5837-55088,01,500-1500,Walleye,2009-05-20,582889,5508763,2.299999952,17.1,5.48,0.25,34.8,40.6,4.32,7.7,0.59,1.35,1.25,26,2,349,7.29,11.5,0.96,1.75,98
4,Bawden L.,Z04_CY01_BawdenL,15-6011-55383,01,50-500,Walleye,2009-05-20,601174,5538787,1.799999952,39.8,7.14,0.27,89.6,47.2,4.92,13.7,0.605,1.76,0.84,30,54,479,7.2,14.7,1.76,1,171
4,Bell L.,Z04_CY01_BellL,15-6500-55194,01,1500-5000,Lake Trout,2009-05-20,646913,5519400,4.800000191,35.6,6.48,0.22,20.6,42.2,4.56,6.3,0.56,1.17,0.845,10,38,264,7.24,5,0.78,2.15,
4,Berens L.,Z04_CY01_BerensL,15-4525-57350,01,1500-5000,Walleye,2009-05-21,453983,5736632,0.800000012,16.3,5.46,0.1,142,38,3.96,15.2,0.56,1.65,0.635,14,30,434,6.98,30.6,1.92,0.55,636
4,Bertaud L.,Z04_CY01_BertaudL,15-6617-56410,01,50-500,Walleye,2009-05-21,661817,5641348,1.799999952,16.5,5.94,0.13,66.4,39.8,4.2,11.4,0.57,1.34,0.57,12,74,322,7.06,5.4,1.2,1.05,110
4,Big Fox L.,Z04_CY01_BigFoxL,15-4131-55595,01,1500-5000,Walleye,2009-05-19,415319,5560000,1.299999952,32.3,10.5,1.79,74,79,7.96,11.3,0.975,2.52,2.76,18,68,422,7.46,27.3,1.16,3.55,318
4,Big Sandy L.,Z04_CY01_BigSandy,15-5463-55189,01,1500-5000,Walleye,2009-05-20,545518,5517557,2.700000048,65.2,20.8,2.33,24.6,136,8.32,7.2,1.16,4.37,2.59,14,42,313,7.82,14.9,1.1,2.8,76
4,Birch L.,Z04_CY01_BirchL,15-5452-56951,01,5000-250000,Walleye,2009-05-21,545620,5683974,3.900000095,22.7,8.32,0.15,29,52.4,5.82,8.1,0.5,1.26,0.645,22,10,312,7.24,9,0.9,1.5,
4,Birmingham L.,Z04_CY01_Birmingh,15-5413-55979,01,50-500,Walleye,2009-05-23,541373,5597625,1.899999976,,15.9,0.28,55.4,106,12.9,10.2,0.88,3.55,1.04,44,84,429,,9.9,1.7,1.05,151
4,Blair L.,Z04_CY01_BlairL,15-4919-56922,01,50-500,Walleye,2009-05-21,491566,5691439,1.5,6.66,2.42,0.2,101,20.4,1.2,13.5,0.675,0.62,0.695,16,50,367,6.7,10.8,2.16,1.4,499
4,Bluffy L.,Z04_CY01_BluffyL,15-5035-56302,01,1500-5000,Walleye,2009-05-20,500946,5630205,1.100000024,21.6,7.92,0.18,129,50.2,5.12,16,0.625,1.84,0.735,16,54,501,7.22,15,1.84,1.15,331
4,Bury L.,Z04_CY01_BuryL,15-6143-55885,01,50-500,Walleye,2009-05-23,613134,5587775,2.5,30.2,9.76,0.22,80.6,65.4,7.66,11.8,0.705,2.38,0.775,26,74,369,7.32,13,1.92,1.3,110
4,Canyon L.,Z04_CY01_CanyonL,15-4470-55367,01,1500-5000,Walleye,2009-05-22,454490,5537077,3.400000095,14.8,4.68,0.36,24.8,39.6,3.84,7,0.615,1.38,1.01,26,30,313,7.16,10.2,0.92,2.25,76
4,Carling L.,Z04_CY01_CarlingL,15-6217-56090,01,500-1500,Lake Trout,2009-05-23,617849,5605542,2.700000048,24.2,8.22,0.23,77.8,55,6.04,12.2,0.635,1.89,0.705,14,80,333,7.19,16.3,1.72,1.3,84
4,Cecil L.,Z04_CY01_CecilL,15-6164-54885,01,1500-5000,Lake Trout,2009-05-19,615612,5487183,3.900000095,37.8,12,2.43,13.8,90.6,9.64,4.1,0.76,2.74,2.19,8,2,210,7.53,6.6,1.28,3,
4,Clay L.,Z04_CY01_ClayL,15-4653-55440,01,1500-5000,Walleye,2009-05-19,461581,5544931,0.899999976,38.6,12,3.82,94.8,99.6,9.78,11.5,1.28,2.89,4.97,36,40,521,7.43,38.6,0.92,4.25,601
4,Cliff L.,Z04_CY01_CliffL,15-4785-55574,01,1500-5000,Lake Trout,2009-05-20,478063,5557206,3.799999952,34.1,10.4,2.52,17.2,83,8.64,6.4,0.81,2.75,2.47,18,6,302,7.54,9.7,0.48,2.25,
4,Coli L.,Z04_CY01_ColiL,15-4589-56848,01,1500-5000,Walleye,2009-05-21,458595,5684756,1.899999976,11.3,4.28,0.13,45.6,32,3,9,0.515,0.87,0.78,36,32,382,6.96,14.9,2.72,1.15,244
4,Confederation L.,Z04_CY01_Confeder,15-5210-56629,01,1500-5000,Lake Trout,2009-05-22,519199,5659205,4.199999809,17.5,8.14,0.19,24.4,53.2,4.28,6.8,0.645,1.13,0.68,12,50,261,7.22,6.6,0.6,6.35,
4,Confusion L.,Z04_CY01_Confusio,15-4187-56135,01,500-1500,Lake Trout,2009-05-22,418662,5614135,4,17.2,4.7,0.23,28.6,40.2,3.88,7.1,0.835,1.6,1.06,8,118,289,7.1,5.2,0.68,2.25,
4,Conifer L.,Z04_CY01_ConiferL,15-4270-56011,01,500-1500,Walleye,2009-05-20,426478,5601595,5.199999809,16.8,4.96,0.24,17.8,44.4,4.44,5.3,1.04,1.79,1.01,6,110,220,7.2,4.7,0.5,3.15,
4,Crystal L.,Z04_CY01_CrystalL,15-6321-55100,01,50-500,Walleye,2009-05-20,632305,5510526,1.799999952,34.3,6.92,0.36,123,41.4,4.32,14.8,0.505,1.31,0.8,16,32,419,7.04,10.3,1.62,1.25,228
4,Delaney L.,Z04_CY01_DelaneyL,15-4250-55493,01,500-1500,Lake Trout,2009-05-19,424690,5549094,4.5,13.3,4.18,0.47,8.4,37.2,3.64,3.6,0.59,1.25,1.11,10,18,209,7.06,7.1,0.24,3.15,
4,Dowswell L.,Z04_CY01_Dowswell,15-3786-56088,01,50-500,Lake Trout,2009-05-19,378273,5608958,1.799999952,9.03,3.62,0.2,79.6,27.4,2.2,12.6,0.64,0.98,0.76,10,82,387,6.73,10.8,1.32,1.4,314
4,Expanse L.,Z04_CY01_ExpanseL,15-5866-55770,01,500-1500,Walleye,2009-05-23,587137,5577606,2.299999952,29.2,9.3,0.2,78.2,64.4,7.16,11.8,0.675,2.23,0.83,34,54,410,7.4,14.2,1.66,1.4,149
4,Eye L.,Z04_CY01_EyeL,15-4642-55404,01,50-500,Walleye,2009-05-19,463560,5540558,2.200000048,42.2,9.3,0.36,45.6,88,10.7,12.3,1.37,4.3,3.08,38,84,618,7.53,24.9,1.16,1.3,334
